City,Air Quality,Index Value,Prominent Pollutant,No. of Monitoring Stations,Date,location_lat,location_long
Mumbai,Moderate,170,"PM, PM2.510",19,28/03/2022,19.0759899,72.8773928
Munger,Moderate,184,PM10,1,28/03/2022,25.22081165,86.51720367235285
Muzaffarnagar,Very Poor,302,PM2.5,1,28/03/2022,29.4662369,77.6961699
Muzaffarpur,Poor,282,"PM, PM102.5",3,28/03/2022,26.1486581,85.34001282479626
Mysuru,Good,48,PM10,1,28/03/2022,12.3051828,76.6553609
Nagpur,Satisfactory,75,CO,1,28/03/2022,21.1498134,79.0820556
Naharlagun,Poor,204,PM10,1,28/03/2022,27.1032229,93.6923098
Narnaul,Moderate,114,PM2.5,1,28/03/2022,27.997083250000003,76.0757621771358
Nashik,Satisfactory,82,PM2.5,1,28/03/2022,20.0112475,73.7902364
Navi Mumbai,Moderate,178,"PM, CO10",2,28/03/2022,19.0308262,73.0198537
Noida,Moderate,169,PM2.5,1,28/03/2022,28.5707841,77.3271074
Palwal,Moderate,104,PM10,1,28/03/2022,28.1769589,77.37311203790532
Panchkula,Moderate,140,PM2.5,1,28/03/2022,30.7137692,76.86827600027706
Panipat,Moderate,170,PM10,1,28/03/2022,29.3912753,76.9771675
Patiala,Moderate,120,PM10,1,28/03/2022,30.2090874,76.3398720856221
Patna,Poor,214,"PM, PM2.510",5,28/03/2022,25.6093239,85.1235252
Pithampur,Satisfactory,79,PM10,1,28/03/2022,22.6105576,75.6790283
Prayagraj,Moderate,129,"O, PM310",3,28/03/2022,25.4381302,81.8338005
Puducherry,Good,49,O3,1,28/03/2022,11.9340568,79.8306447
Pune,Moderate,149,PM2.5,5,28/03/2022,18.521428,73.8544541
Purnia,Poor,248,PM2.5,1,28/03/2022,26.0,87.5
Raichur,Satisfactory,82,PM10,1,28/03/2022,16.083333,77.166667
Rajamahendravaram,Satisfactory,70,PM10,1,28/03/2022,17.0050454,81.7804732
Rajgir,Moderate,155,O3,1,28/03/2022,25.0350026,85.36611304861461
Ratlam,Moderate,108,PM10,1,28/03/2022,23.4805919,74.91778971237613
Rohtak,Poor,201,PM2.5,1,28/03/2022,28.9010899,76.5801935
Rupnagar,Moderate,141,PM2.5,1,28/03/2022,31.09168085,76.5272673916138
Sagar,Satisfactory,69,CO,1,28/03/2022,23.80961225,78.75911360578634
Saharsa,Very Poor,325,PM10,1,28/03/2022,25.83264165,86.61489283342814
Sasaram,Moderate,173,PM2.5,1,28/03/2022,24.9001003,84.0182110684575
Satna,Satisfactory,52,PM10,1,28/03/2022,24.5,81.0
Siliguri,Moderate,176,PM2.5,1,28/03/2022,26.714547,88.43972157930162
Singrauli,Poor,272,PM10,1,28/03/2022,24.1974432,82.6661453
Sirsa,Moderate,101,O3,1,28/03/2022,29.583333,75.083333
Solapur,Satisfactory,88,PM2.5,1,28/03/2022,17.84990665,75.27632027348457
Talcher,Moderate,109,PM10,1,28/03/2022,20.9458183,85.2111736
Thane,Poor,227,PM10,1,28/03/2022,19.1943294,72.9701779
Udaipur,Moderate,151,PM2.5,1,28/03/2022,24.578721,73.6862571
Ujjain,Moderate,143,PM10,1,28/03/2022,23.1885131,75.7716562
Vapi,Moderate,171,PM10,1,28/03/2022,20.3735482,72.9084376
Varanasi,Moderate,108,PM10,4,28/03/2022,25.3356491,83.0076292
Vatva,Poor,203,PM2.5,1,28/03/2022,22.9589978,72.6297981
Vijayapura,Satisfactory,51,PM10,1,28/03/2022,16.666667,75.916667
Visakhapatnam,Moderate,130,PM10,1,28/03/2022,17.7231276,83.3012842
Yadgir,Satisfactory,53,PM10,1,28/03/2022,16.7689044,77.1380381
Yamunanagar,Poor,251,PM2.5,1,28/03/2022,30.2112003,77.28638972360895
